,name,platform,summary,user_review
2614,Okamiden,DS,"Taking place many months after the events of Okami, Okamiden follows the adventures of Chibiterasu - a young sun god who is summoned to protect and restore the land. Armed with a majestic celestial brush and a vibrant cast of partners with unique powers and abilities, this little god is ready to make its mark on the world.",8.3
11775,Indiana Jones And The Staff Of Kings,PSP,"Step into the shoes of the legendary hero, Indiana Jones, in an all new epic adventure! Set in the year 1939, Indiana Jones and the Staff of Kings follows the rogue archaeologist on an all-new globe-trotting quest. From San Francisco's Chinatown to the lush jungles of Panama, Indy must use his whip, fists and wits to fight through ruthless opposition as he spars with his nemesis, Magnus Völler, in a race for a relic of biblical proportions - the Staff of Moses. Indiana Jones and the Staff of Kings features completely interactive environments, where players need to call upon their wits and daring to make each spring-loaded environment a weapon in order to dispense of foes in clever and unexpected ways. Also, embark upon thrilling action sequences that remain true to the spirit established in scenes such as Indy's pursuit of the motorcade in Raiders of the Lost Ark, the mine-cart scene in Indiana Jones and the Temple of Doom, and the free-for-all aboard the tank in Indiana Jones and the Last Crusade. The PSP system version features a variety of robust types of burst gameplay including combat and physics challenges, puzzles and the trademark Indiana Jones chase sequences.[LucasArts]",7.5
14963,R.I.P.D. The Game,PSP,"Based on the 3D supernatural action-adventure film, R.I.P.D., you and a partner assume the roles of two lawmen dispatched to the otherworld to protect and serve the living from an increasingly destructive series of souls who refuse to move peacefully to the other side. Honed teamwork and an arsenal of killer weapons are the keys to defeating your enemies and bringing serenity back to the world.",3.4
14703,Bubsy: The Woolies Strike Back,PlayStation 4,"Watch Bubsy glide like a bat, jump like a jack rabbit, bounce like a red rubber ball and run…run Bubsy run. This is the Bubsy adventure you were born to play.",5.5
487,The Walking Dead: Episode 5 - No Time Left,PC,"Assume the role of Lee Everett, a convicted criminal, who has been given a second chance at life in a world infested with the undead. With corpses returning to life and survivors stopping at nothing to maintain their own safety, protecting an orphaned girl named Clementine may offer him redemption in a world gone to hell.",8.8
9625,Aliens: Fireteam Elite,PC,"2202. A mysterious distress call reroutes your Marine Assault Unit to LV-895 in the outer colonies, where deadly Xenomorph legions, hidden corporate secrets, and ancient alien ruins await your arrival. Set in the iconic Alien universe, Aliens: Fireteam is a cooperative third-person survival shooter that drops your fireteam of hardened marines into a desperate fight to contain the Xenomorph threat. Face off against waves of terrifying Xenomorph and Weyland-Yutani Synthetic foes alongside two players or AI teammates, as you and your fireteam desperately fight your way through four unique campaigns that introduce new storylines to the Alien universe. Create and customize your own Colonial Marine, choosing from an extensive variety of classes, weapons, gear and perks, battling overwhelming odds in this heart-pounding survival shooter experience. THE ULTIMATE HUNT Play a pivotal role in the epic events that occur 23 years after the original Alien trilogy as a Colonial Marine stationed aboard the USS Endeavor, battling terrifying Xenomorph threats. SURVIVE THE HIVE Face overwhelming odds against over 20 enemy types, including 11 different Xenomorphs along the evolutionary scale from Facehuggers to Praetorians, each designed with their own intelligence to ambush, outsmart and eviscerate vulnerable marines. CUSTOMIZE YOUR FIRETEAM Choose from five unique classes - Gunner, Demolisher, Technician, Doc and Recon - each with their own special abilities and character perks. Utilize an extensive arsenal of 30+ weapons and 70+ mods/attachments in your effort to eradicate the Alien threat.",5.7
12011,Hunting Simulator 2,Xbox One,"With your hunting dog by your side, explore the Texan desert and forests of Colorado and Europe as you track down 33 animal species. Choose your gear from over 160 official weapons, accessories and clothing items (including Browning, Winchester and Bushnell).",5.3
2459,Madden Nfl 18,PlayStation 4,"Madden NFL 18 takes a significant visual leap with the power of the Frostbite engine. See stunning new stadium exteriors surrounded by vast cityscapes and watch the spectacle of NFL gameday come to life in the most photorealistic game to date. Play each matchup to your specifications by selecting from three new Play Styles or play the best real world match ups each week in Play Now Live! With the introduction of even more ways to play, coupled with your modes, Madden Ultimate Team and Franchise, this is Madden like you've never seen before.",3.4
2325,Wipeout Fusion,PlayStation 2,"It's WipEout time again, with the fourth instalment of the critically acclaimed series exploding onto PlayStation 2. Once again you must push your reactions and abilities to the limit in order to leave your rivals in the dust. With 45 futuristic race circuits to negotiate, WipEout Fusion will have you corkscrewing, jumping, barrel-rolling and looping like never before. Other enhancements include the addition of the Endurance and Zone modes, superior AI and the option to customise craft handling to match each course. [Sony Europe]",8.5
339,Mvp Baseball 2004,PlayStation 2,"Step up to the plate with MVP Baseball 2004. The fundamentals of hitting, pitching, fielding, and base running have been reproduced like never before to give you complete control over every aspect of the game. From swinging for the fences or protecting the plate when you have a two-strike count, the all-new batting model provides unprecedented command of each type of swing in every situation. With great gameplay and many additional features such as Pitching Challenge and Dynasty Mode, MVP Baseball 2004 wins the pennant as the most innovative and realistic baseball experience ever created. Groundbreaking Hitting Control: From hitting to the opposite field to pulling the ball down the line to swinging for the fences, every swing type is included. You Control the Field: Leap over the wall and rob home runs, hook slide to avoid tags, and take out the catcher at home with all-new player control. Pick Your Park: With all-new crowd chants, the addition of classic stadiums, and new lighting to signify various start times for your biggest games, MVP Baseball 2004 puts you in the best seat in the house. Your Dynasty Begins Now: Take full control of your franchise on all the levels -- from the minors to the pros. Play, sim, or manage each game all the way to the World Series. Swing for the Fences Online: Go yard against players across the country in one-on-one or Tournament games, while talking up your game with EA SPORTS? Talk [Electronic Arts]",8.5
9982,"The Chronicles Of Narnia: The Lion, The Witch And The Wardrobe",PlayStation 2,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe is an action adventure based on the Disney and Walden Media film capturing the book series from author C.S. Lewis. Players enter the world of Narnia, a land frozen in eternal winter by the evil powers of the malevolent and evil White Witch. In order to end this frigid captivity and free his people, the mighty lion Aslan, true ruler of Narnia, invokes an ancient prophecy. It will become the destiny of four young siblings from our world: Peter, Susan, Edmund and Lucy Pevensie to work together and use their unique combat skills, weaponry and abilities to defeat the Witch and her armies and save Narnia. These four unlikely heroes must battle the evil forces of the White Witch by waging war against a vast variety of creatures, including Centaurs, Minotaurs, Minoboars, Cyclops, Werewolves, Wraiths, Ankleslicers, Wolves, Satyrs, Boggles and more. Battle the evil forces of the White Witch by waging war against a huge variety of creatures, including Centaurs, Minotaurs, Minoboars, Cyclops, Werewolves, Wraiths, Ankleslicers, Wolves, Satyrs, Boggles and more. Utilize the unique combat skills, weaponry and special moves of each character to fight and fend off hordes of dark mythical beasts, or solve intricate puzzles and progress through the adventure. Two-player action featuring all four characters. [Disney Interactive]",8.2
14071,Enemy Front,Switch,"Enemy Front is the realistic tale of a hardened soldier dropped behind Nazi lines to engage in dynamic, diversified missions ranging from quick skirmishes, espionage assignments, and sabotage activities. The epic scope of Enemy Front spans several years and key battles as it progresses from the trenches of a desolate France right on through to Berlin and a secret weapons base. Once there, the player must thwart the plans for a terrifying weapon that will all but assure a global Nazis victory.",5.6
8517,Xeodrifter,Switch,"Drifting through the stars. Xeodrifter is the story of an interstellar drifter traveling the stars on a simple mission of exploration. We join our nomad as he embarks on the investigation of a small cluster of four planets in the omega sector, after a collision with a rogue asteroid damaged his warp core. Blast your way through alien landscapes, seek out valuable secrets, and defeat ancient guardians to unlock powers from a legendary supreme culture in this exciting journey of mystery and adventure.",5.9
